Tier,Game,Original price,Now,Saved $,Discount %,Review % positive,Reviews,Review label,Store URL
AA,Worms Clan Wars,$24.99,$4.99,20.0,80,77,1678,positive,https://store.steampowered.com/app/233840/
A,Manga Maker Comipo,$24.99,$4.99,20.0,80,76,643,positive,https://store.steampowered.com/app/262490/
AA,Rogue Lords,$24.99,$2.49,22.5,90,71,1443,positive,https://store.steampowered.com/app/1069690/
A,Almighty: Kill Your Gods,$24.99,$4.99,20.0,80,61,321,mixed,https://store.steampowered.com/app/1206600/
AA,Hammerting,$24.99,$2.49,22.5,90,57,1732,mixed,https://store.steampowered.com/app/760650/
AA,Test Drive Unlimited Solar Crown,$24.99,$4.99,20.0,80,38,2891,negative,https://store.steampowered.com/app/1249970/
AA,Dragon's Dogma: Dark Arisen,$23.99,$3.83,20.16,84,88,22264,positive,https://store.steampowered.com/app/367500/
AA,Ghostrunner 2,$23.99,$4.79,19.2,80,79,3193,positive,https://store.steampowered.com/app/2144740/
AA,Dead Rising 3 Apocalypse Edition,$23.99,$4.79,19.2,80,76,6062,positive,https://store.steampowered.com/app/265550/
AA,Dead Rising 4,$23.99,$4.79,19.2,80,60,1673,mixed,https://store.steampowered.com/app/543460/
AA,Iron Harvest,$22.99,$3.44,19.55,85,75,6146,positive,https://store.steampowered.com/app/826630/
A,Gungrave G.O.R.E,$22.99,$2.29,20.7,90,71,746,positive,https://store.steampowered.com/app/1630110/
AA,Dakar 18,$22.99,$2.29,20.7,90,69,828,mixed,https://store.steampowered.com/app/767390/
AA,Agents of Mayhem,$22.99,$1.14,21.85,95,60,1819,mixed,https://store.steampowered.com/app/304530/
AA,Temtem,$22.49,$4.49,18.0,80,82,17970,positive,https://store.steampowered.com/app/745920/
AA,Steep™,$21.99,$1.09,20.9,95,84,12610,positive,https://store.steampowered.com/app/460920/
AA,Far Cry® 4,$21.99,$4.39,17.6,80,81,25165,positive,https://store.steampowered.com/app/298110/
AA,Tom Clancy’s The Division® 2,$21.99,$2.19,19.8,90,79,17666,positive,https://store.steampowered.com/app/2221490/
AA,Tom Clancy’s The Division™,$21.99,$2.19,19.8,90,73,27549,positive,https://store.steampowered.com/app/365590/
AA,FOR HONOR™,$21.99,$2.19,19.8,90,68,59313,mixed,https://store.steampowered.com/app/304390/
AA,The Great War: Western Front™,$21.99,$4.39,17.6,80,65,1873,mixed,https://store.steampowered.com/app/2109370/
AA,Might & Magic X - Legacy,$21.99,$4.39,17.6,80,64,1745,mixed,https://store.steampowered.com/app/238750/
AA,Deus Ex: Mankind Divided,$20.99,$2.09,18.9,90,75,16479,positive,https://store.steampowered.com/app/337000/
AA,Torchlight III,$20.99,$3.14,17.85,85,51,4918,mixed,https://store.steampowered.com/app/1030210/
AA,Dead Space™ 2,$19.99,$3.99,16.0,80,93,12015,positive,https://store.steampowered.com/app/47780/
AA,Torchlight II,$19.99,$3.99,16.0,80,93,17514,positive,https://store.steampowered.com/app/200710/
AA,Turok,$19.99,$2.99,17.0,85,93,2473,positive,https://store.steampowered.com/app/405820/
AA,UnMetal,$19.99,$3.99,16.0,80,91,861,positive,https://store.steampowered.com/app/1203710/
AA,Turok 2: Seeds of Evil,$19.99,$3.99,16.0,80,91,1632,positive,https://store.steampowered.com/app/405830/
A,11-11 Memories Retold,$19.99,$2.99,17.0,85,89,670,positive,https://store.steampowered.com/app/735580/
AA,"Warhammer 40,000: Dawn of War II - Anniversary Edition (Classic)",$19.99,$3.99,16.0,80,84,4677,positive,https://store.steampowered.com/app/15620/
AA,Agatha Christie - Murder on the Orient Express,$19.99,$3.99,16.0,80,82,1081,positive,https://store.steampowered.com/app/1904790/
AA,Blacksad: Under the Skin,$19.99,$3.99,16.0,80,79,1727,positive,https://store.steampowered.com/app/1003890/
AA,After the Fall®,$19.99,$3.99,16.0,80,76,1542,positive,https://store.steampowered.com/app/751630/
AA,The Dwarves,$19.99,$3.99,16.0,80,74,1189,positive,https://store.steampowered.com/app/403970/
A,Agarest: Generations of War Zero,$19.99,$3.99,16.0,80,72,350,positive,https://store.steampowered.com/app/260130/
AA,Dead Space™ 3,$19.99,$3.99,16.0,80,68,5267,mixed,https://store.steampowered.com/app/1238060/
A,River City Super Sports Challenge ~All Stars Special~,$19.99,$2.99,17.0,85,67,689,mixed,https://store.steampowered.com/app/326340/
AA,Welcome to ParadiZe,$19.99,$1.99,18.0,90,66,1066,mixed,https://store.steampowered.com/app/1519090/
AA,ADR1FT,$19.99,$3.99,16.0,80,57,1139,mixed,https://store.steampowered.com/app/300060/
A,Spike Volleyball,$19.99,$1.99,18.0,90,54,614,mixed,https://store.steampowered.com/app/738550/
AA,DRAGON BALL: THE BREAKERS,$19.99,$2.99,17.0,85,54,2484,mixed,https://store.steampowered.com/app/1276760/
A,Siege Survival: Gloria Victis,$18.99,$1.89,17.1,90,79,1368,positive,https://store.steampowered.com/app/1167140/
A,Space Empires V,$18.74,$3.74,15.0,80,73,423,positive,https://store.steampowered.com/app/1690/
A,Transference™,$18.49,$3.69,14.8,80,69,476,mixed,https://store.steampowered.com/app/647570/
A,Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,$18.49,$3.69,14.8,80,64,1646,mixed,https://store.steampowered.com/app/937892/
A,Assassin’s CreedⓇ Odyssey – Legacy of the First Blade,$18.49,$3.69,14.8,80,40,1872,mixed,https://store.steampowered.com/app/937891/
A,Dying Light,$18.00,$3.60,14.4,80,94,99131,positive,https://store.steampowered.com/app/239140/
A,Dying Light - Cuisine & Cargo,$18.00,$3.60,14.4,80,88,337,positive,https://store.steampowered.com/app/302101/
