Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Crystal Crisis,100,$8.19,$0.00,81,135,positive,https://store.steampowered.com/app/447700/
Deadshot,100,$3.29,$0.00,100,10,positive,https://store.steampowered.com/app/2484180/
Space Menace,100,$4.69,$0.00,58,39,mixed,https://store.steampowered.com/app/2000040/
Mecha Blade,95,$9.99,$0.49,,,,https://store.steampowered.com/app/2254310/
The Mythical City 2,95,$10.00,$0.50,66,15,mixed,https://store.steampowered.com/app/2999800/
Lasertron,95,$10.25,$0.51,,,,https://store.steampowered.com/app/1488060/
Masked Shooters 2,95,$10.49,$0.52,75,618,positive,https://store.steampowered.com/app/434250/
Masked Shooters,95,$10.49,$0.52,71,139,positive,https://store.steampowered.com/app/603130/
PIZZA WESTERN 🍕,95,$10.49,$0.52,90,10,positive,https://store.steampowered.com/app/3203320/
Stickman Synthwave Escape,95,$10.49,$0.52,75,12,positive,https://store.steampowered.com/app/1994350/
The Red Hood: Hunting the Wolf,95,$10.49,$0.52,72,11,positive,https://store.steampowered.com/app/3238780/
Dangerous Arena,95,$10.49,$0.52,71,14,positive,https://store.steampowered.com/app/2651760/
The Dragoness: Command of the Flame,95,$10.99,$0.54,66,135,mixed,https://store.steampowered.com/app/1413580/
The President,95,$10.99,$0.54,70,10,positive,https://store.steampowered.com/app/1930040/
The Faction,95,$10.99,$0.54,63,11,mixed,https://store.steampowered.com/app/2026280/
Last Generation: Survival,95,$10.99,$0.54,50,20,mixed,https://store.steampowered.com/app/1595600/
Mars Rover Simulator,95,$10.99,$0.54,25,24,negative,https://store.steampowered.com/app/1877360/
Zack 2: Celestine's Map,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1218320/
Only Straight and Up!,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2067030/
Hacker Man,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1957240/
Spyer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1957560/
The Killer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1990280/
Rescuer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1606610/
Military Attack,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2026290/
Combatant,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1702370/
"BattleGrounds : War, Tanks And Nukes",95,$10.99,$0.54,,,,https://store.steampowered.com/app/1703640/
Agent 01,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1932490/
The Tower Of Babel,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2762390/
Decks Of Power,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2216700/
Battlegrounds : The Pirate King,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2907650/
The Ritual,95,$10.99,$0.54,,,,https://store.steampowered.com/app/3122100/
Battlegrounds : At Enemy Gates,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2599320/
The Thief,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1897410/
Obsessive Revenge,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1897430/
Blastforge Breach,95,$12.99,$0.64,87,104,positive,https://store.steampowered.com/app/3706040/
Boom Buddy,95,$12.99,$0.64,83,126,positive,https://store.steampowered.com/app/3630310/
Bombunter,95,$12.99,$0.64,89,106,positive,https://store.steampowered.com/app/3705490/
TurboJoy,95,$12.99,$0.64,93,90,positive,https://store.steampowered.com/app/4162770/
Ammo Bounce,95,$12.99,$0.64,88,86,positive,https://store.steampowered.com/app/4162900/
Run from the Cops!,95,$12.99,$0.64,92,83,positive,https://store.steampowered.com/app/4162960/
Aquabike Rush,95,$12.99,$0.64,91,86,positive,https://store.steampowered.com/app/4163340/
Speed Vortex,95,$12.99,$0.64,92,89,positive,https://store.steampowered.com/app/4164480/
Master of 4 Swords,95,$12.99,$0.64,93,93,positive,https://store.steampowered.com/app/3850520/
Roata Mai,95,$12.99,$0.64,94,87,positive,https://store.steampowered.com/app/3862690/
Flying Tobacco Eggs,95,$12.99,$0.64,84,13,positive,https://store.steampowered.com/app/2999770/
Drift Stunt Racing 2019,95,$12.99,$0.64,70,17,positive,https://store.steampowered.com/app/938600/
Magic Trap,95,$15.99,$0.79,86,23,positive,https://store.steampowered.com/app/2930380/
Falco Totem Destroyer,95,$15.99,$0.79,100,10,positive,https://store.steampowered.com/app/2999760/
In a search of a new home,95,$16.89,$0.84,55,36,mixed,https://store.steampowered.com/app/1284510/
BotMobile,95,$19.99,$0.99,90,11,positive,https://store.steampowered.com/app/2805630/
Wild Animals Transporter,95,$19.99,$0.99,100,18,positive,https://store.steampowered.com/app/2862060/
One Chance,95,$19.99,$0.99,90,11,positive,https://store.steampowered.com/app/2862040/
Fox Golf,95,$19.99,$0.99,86,15,positive,https://store.steampowered.com/app/2833820/
Lunatic Taxi Driver,95,$19.99,$0.99,85,14,positive,https://store.steampowered.com/app/2862030/
Falco Tunes,95,$19.99,$0.99,100,12,positive,https://store.steampowered.com/app/2930390/
Animals vs Animals,95,$19.99,$0.99,78,14,positive,https://store.steampowered.com/app/2805620/
Fight till the End!,95,$19.99,$0.99,66,15,mixed,https://store.steampowered.com/app/2805660/
Desert Special Forces,95,$19.99,$0.99,65,20,mixed,https://store.steampowered.com/app/2805640/
The Great Axe,95,$19.99,$0.99,84,13,positive,https://store.steampowered.com/app/3592340/
Aquarelle,95,$19.99,$0.99,68,19,mixed,https://store.steampowered.com/app/1495580/
Steep™,95,$21.99,$1.09,84,12610,positive,https://store.steampowered.com/app/460920/
Agents of Mayhem,95,$22.99,$1.14,60,1819,mixed,https://store.steampowered.com/app/304530/
Not a Masterpıece,95,$24.99,$1.24,91,12,positive,https://store.steampowered.com/app/2898740/
Space Route,95,$24.99,$1.24,90,11,positive,https://store.steampowered.com/app/2063560/
Crown Wars: The Black Prince,95,$29.99,$1.49,60,502,mixed,https://store.steampowered.com/app/1658920/
Zorro The Chronicles,95,$29.99,$1.49,86,122,positive,https://store.steampowered.com/app/1571460/
EmberStride,95,$29.99,$1.49,91,12,positive,https://store.steampowered.com/app/4043270/
Skullbreaker,95,$29.99,$1.49,92,13,positive,https://store.steampowered.com/app/4052250/
TT Isle Of Man: Ride on the Edge 3,95,$30.99,$1.54,75,691,positive,https://store.steampowered.com/app/1924170/
Last Day of Zombies,95,$31.99,$1.59,,,,https://store.steampowered.com/app/2394600/
Hunting Simulator 2,95,$39.99,$1.99,70,917,positive,https://store.steampowered.com/app/1135910/
Adventures with Alan Parkour 3D,95,$39.99,$1.99,92,13,positive,https://store.steampowered.com/app/2540410/
Watch_Dogs® 2,95,$43.99,$2.19,81,27400,positive,https://store.steampowered.com/app/447040/
SCALEPLANET,95,$44.99,$2.24,100,10,positive,https://store.steampowered.com/app/1922360/
Fly Fly Dragon!,95,$47.43,$2.37,91,12,positive,https://store.steampowered.com/app/2471620/
The Mythical City 4,95,$49.99,$2.49,100,10,positive,https://store.steampowered.com/app/3039350/
Spaceship Driver License,95,$49.99,$2.49,100,11,positive,https://store.steampowered.com/app/2862050/
Zombodesert,95,$49.99,$2.49,91,12,positive,https://store.steampowered.com/app/2864300/
Car Parkour,95,$99.99,$4.99,63,22,mixed,https://store.steampowered.com/app/2374570/
The Hidden Ghost,95,$99.99,$4.99,,,,https://store.steampowered.com/app/1927540/
The Ultimate Shot,95,$99.99,$4.99,,,,https://store.steampowered.com/app/1917740/
Beach Gas Gas,95,$99.99,$4.99,,,,https://store.steampowered.com/app/2387820/
Bike Offroad Simulator,95,$99.99,$4.99,,,,https://store.steampowered.com/app/2400760/
Veteran Racer,94,$7.79,$0.46,,,,https://store.steampowered.com/app/4129690/
Helheim Hassle,94,$8.19,$0.49,91,341,positive,https://store.steampowered.com/app/1095120/
Psebay,94,$8.19,$0.49,88,93,positive,https://store.steampowered.com/app/608660/
Survive Isolation,94,$8.19,$0.49,90,10,positive,https://store.steampowered.com/app/1639090/
Mugsters,94,$8.19,$0.49,67,70,mixed,https://store.steampowered.com/app/712180/
! Wild Russia !,94,$8.19,$0.49,62,61,mixed,https://store.steampowered.com/app/1287250/
Storekeeper Revenge,94,$8.19,$0.49,100,11,positive,https://store.steampowered.com/app/2019630/
The Mythical City 3,94,$8.19,$0.49,100,10,positive,https://store.steampowered.com/app/2999810/
CandySweet,94,$8.19,$0.49,78,14,positive,https://store.steampowered.com/app/2007180/
Go Kart Survival,94,$8.19,$0.49,63,11,mixed,https://store.steampowered.com/app/713570/
Great Houses of Calderia,94,$8.49,$0.50,60,411,mixed,https://store.steampowered.com/app/1812910/
CowboysShowdown,94,$8.49,$0.50,90,11,positive,https://store.steampowered.com/app/1970700/
BeachRun,94,$8.49,$0.50,100,11,positive,https://store.steampowered.com/app/1970730/
Magic War,94,$8.49,$0.50,100,10,positive,https://store.steampowered.com/app/1970740/
SpearFrog,94,$8.49,$0.50,81,11,positive,https://store.steampowered.com/app/1970750/
DOLPHIN HUSTLE,94,$8.49,$0.50,75,16,positive,https://store.steampowered.com/app/1964750/
Drive,94,$8.49,$0.50,,,,https://store.steampowered.com/app/2074120/
Super Lumberjack,94,$31.99,$1.91,,,,https://store.steampowered.com/app/1069540/
Shiro,93,$6.49,$0.45,81,496,positive,https://store.steampowered.com/app/1290710/
MiceGard,93,$6.49,$0.45,84,88,positive,https://store.steampowered.com/app/2430660/
The Excrawlers,93,$6.49,$0.45,87,117,positive,https://store.steampowered.com/app/1598910/
Obsurity,93,$6.49,$0.45,72,256,positive,https://store.steampowered.com/app/1125110/
Zombie Outbreak 1943,93,$6.49,$0.45,,,,https://store.steampowered.com/app/3927150/
Go-Kart Racing 2,93,$6.99,$0.48,,,,https://store.steampowered.com/app/3455030/
Go-Kart Racing 3,93,$6.99,$0.48,,,,https://store.steampowered.com/app/4073930/
Star Hive: The Menace,93,$7.29,$0.51,,,,https://store.steampowered.com/app/2260310/
Cube Dodge,93,$7.29,$0.51,,,,https://store.steampowered.com/app/2182710/
Jad,93,$7.49,$0.52,75,60,positive,https://store.steampowered.com/app/1447060/
The Political Simulator,93,$7.49,$0.52,,,,https://store.steampowered.com/app/4942350/
Tower of Time,93,$8.49,$0.59,83,1395,positive,https://store.steampowered.com/app/617480/
Mordheim: City of the Damned,93,$14.99,$1.04,71,4761,positive,https://store.steampowered.com/app/276810/
Dark Forest: The Horror,92,$5.89,$0.47,64,31,mixed,https://store.steampowered.com/app/1787600/
Brunch Club,92,$6.19,$0.49,70,50,positive,https://store.steampowered.com/app/1045120/
Overdrive Escape,92,$6.29,$0.50,80,20,positive,https://store.steampowered.com/app/2398760/
ALICE VR,92,$6.29,$0.50,39,239,negative,https://store.steampowered.com/app/513320/
Pyramid of Wisdom,92,$6.29,$0.50,,,,https://store.steampowered.com/app/4517450/
Psihanul,92,$6.29,$0.50,,,,https://store.steampowered.com/app/1152000/
Smokyflex,92,$6.49,$0.51,90,11,positive,https://store.steampowered.com/app/2003270/
Maniac Path 3,92,$9.99,$0.79,100,12,positive,https://store.steampowered.com/app/3107940/
Organic Evolution,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/4730210/
Maniac Path 4,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/3536910/
Fastro Dude 2,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/3491920/
"OH NO, NOT ANOTHER L",92,$9.99,$0.79,100,12,positive,https://store.steampowered.com/app/4749860/
Skuf vs beer bottle party,92,$9.99,$0.79,92,13,positive,https://store.steampowered.com/app/3395220/
Matchmania Donate,92,$9.99,$0.79,91,12,positive,https://store.steampowered.com/app/3461200/
The Armed Shadow,92,$9.99,$0.79,94,17,positive,https://store.steampowered.com/app/3472010/
Magatch,92,$9.99,$0.79,94,17,positive,https://store.steampowered.com/app/3461190/
Restart Mode,92,$9.99,$0.79,81,16,positive,https://store.steampowered.com/app/4113460/
Dense forest,92,$9.99,$0.79,100,14,positive,https://store.steampowered.com/app/2650680/
NEUROSLOP,92,$9.99,$0.79,92,13,positive,https://store.steampowered.com/app/4733760/
Just Skill Shooter 4,92,$9.99,$0.79,76,17,positive,https://store.steampowered.com/app/2999790/
Skateboard Gravity,92,$9.99,$0.79,76,13,positive,https://store.steampowered.com/app/2701450/
Danger Drone,92,$9.99,$0.79,71,14,positive,https://store.steampowered.com/app/2684290/
Bastionforge,92,$9.99,$0.79,76,17,positive,https://store.steampowered.com/app/3714960/
Just Skill Shooter,92,$9.99,$0.79,47,36,mixed,https://store.steampowered.com/app/2417160/
Just skill shooter 2,92,$9.99,$0.79,53,32,mixed,https://store.steampowered.com/app/2684300/
Definitely Not a Cult,92,$9.99,$0.79,60,23,mixed,https://store.steampowered.com/app/4813940/
Just Skill Shooter: Catacombs,92,$9.99,$0.79,64,17,mixed,https://store.steampowered.com/app/3107980/
The Mythical City,92,$9.99,$0.79,60,38,mixed,https://store.steampowered.com/app/2555440/
Molecular Warfare,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/2345410/
Let's Park Bus Edition,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/2862020/
BobasQuest,92,$9.99,$0.79,88,26,positive,https://store.steampowered.com/app/2898750/
Chick-Chick,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/2587370/
Vacuum cleaner robot simulator: pile sos edition,92,$9.99,$0.79,85,14,positive,https://store.steampowered.com/app/2383850/
Deadblast,92,$9.99,$0.79,86,15,positive,https://store.steampowered.com/app/2390310/
The Firestorm is Coming,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/3662140/
Happy Piggy,92,$9.99,$0.79,100,13,positive,https://store.steampowered.com/app/3592350/
Gas Gas Rocket!,92,$9.99,$0.79,100,12,positive,https://store.steampowered.com/app/2833830/
Clan monsters,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/2432660/
World Drawn,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/3344560/
Dangerous line,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/3107950/
Difficult times,92,$9.99,$0.79,92,13,positive,https://store.steampowered.com/app/3107960/
Difficult times 2,92,$9.99,$0.79,100,13,positive,https://store.steampowered.com/app/3107970/
Summoner's Automata,92,$9.99,$0.79,85,14,positive,https://store.steampowered.com/app/3807920/
Happy Piggy 2,92,$9.99,$0.79,100,13,positive,https://store.steampowered.com/app/3768060/
Stepfight,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/3768110/
Color Madness,92,$9.99,$0.79,88,17,positive,https://store.steampowered.com/app/3460190/
My Bird,92,$9.99,$0.79,100,15,positive,https://store.steampowered.com/app/3461210/
Fastro Dude,92,$9.99,$0.79,85,14,positive,https://store.steampowered.com/app/3471980/
Survalker,92,$9.99,$0.79,85,14,positive,https://store.steampowered.com/app/4071710/
The Inseparables,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/4222750/
Emoji Wars,92,$9.99,$0.79,91,12,positive,https://store.steampowered.com/app/4429210/
Wasteland with Robots,92,$9.99,$0.79,94,34,positive,https://store.steampowered.com/app/4298510/
VILOVEJETS,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/4340880/
Neon Sunset,92,$9.99,$0.79,100,11,positive,https://store.steampowered.com/app/4734220/
DreamRace,92,$9.99,$0.79,92,13,positive,https://store.steampowered.com/app/4745770/
The Living Graveyard,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/4822800/
Stopping Move,92,$9.99,$0.79,100,10,positive,https://store.steampowered.com/app/4828640/
Ultrazone,92,$9.99,$0.79,76,13,positive,https://store.steampowered.com/app/2596470/
Winning Tactics,92,$9.99,$0.79,78,14,positive,https://store.steampowered.com/app/3662150/
PipeFlow,92,$9.99,$0.79,75,16,positive,https://store.steampowered.com/app/4271150/
Zombies and Orcs,92,$9.99,$0.79,62,16,mixed,https://store.steampowered.com/app/3387740/
Abstract Driver,92,$9.99,$0.79,59,22,mixed,https://store.steampowered.com/app/2415120/
Gold Defence,92,$9.99,$0.79,65,20,mixed,https://store.steampowered.com/app/3862930/
Zadel Princess,92,$10.99,$0.87,68,19,mixed,https://store.steampowered.com/app/1893330/
Fantasy Idle Dungeon,91,$5.49,$0.49,70,737,positive,https://store.steampowered.com/app/3424610/
Caveblazers,91,$5.49,$0.49,86,1571,positive,https://store.steampowered.com/app/452060/
Drink More Glurp,91,$5.49,$0.49,89,194,positive,https://store.steampowered.com/app/1056690/
Arelite Core,91,$5.49,$0.49,84,32,positive,https://store.steampowered.com/app/466160/
CAT Interstellar,91,$5.49,$0.49,70,696,positive,https://store.steampowered.com/app/384740/
Instant Death,91,$5.49,$0.49,75,64,positive,https://store.steampowered.com/app/779360/
Where's My Helmet?,91,$5.49,$0.49,71,100,positive,https://store.steampowered.com/app/470450/
Diamonds Collector,91,$5.49,$0.49,78,14,positive,https://store.steampowered.com/app/2805650/
Mr Nibbles Forever,91,$5.49,$0.49,83,71,positive,https://store.steampowered.com/app/448050/
Space Battle VR,91,$5.49,$0.49,65,88,mixed,https://store.steampowered.com/app/982700/
Take the Cake,91,$5.49,$0.49,81,32,positive,https://store.steampowered.com/app/500440/
Playing History: Vikings,91,$5.49,$0.49,77,85,positive,https://store.steampowered.com/app/368760/
Top Burger,91,$5.49,$0.49,78,51,positive,https://store.steampowered.com/app/1058930/
Him and I,91,$5.49,$0.49,76,21,positive,https://store.steampowered.com/app/1157010/
Playing History - The Plague,91,$5.49,$0.49,76,95,positive,https://store.steampowered.com/app/395920/
The Devilry Reservation,91,$9.99,$0.89,90,65,positive,https://store.steampowered.com/app/2309630/
UBERMOSH,90,$4.50,$0.45,94,3797,positive,https://store.steampowered.com/app/357070/
Barro,90,$4.50,$0.45,82,735,positive,https://store.steampowered.com/app/618140/
Tiny Onion Knight,90,$4.50,$0.45,67,109,mixed,https://store.steampowered.com/app/2207100/
Barro 22,90,$4.50,$0.45,89,871,positive,https://store.steampowered.com/app/1797610/
Swarmlake,90,$4.50,$0.45,94,1847,positive,https://store.steampowered.com/app/793350/
Cyberhunt,90,$4.50,$0.45,84,709,positive,https://store.steampowered.com/app/636150/
Rock 'N' Roll Defense,90,$4.50,$0.45,83,1093,positive,https://store.steampowered.com/app/438480/
Barro T23,90,$4.50,$0.45,82,254,positive,https://store.steampowered.com/app/2379030/
SOK,90,$4.50,$0.45,88,223,positive,https://store.steampowered.com/app/765940/
TitTok,90,$4.50,$0.45,86,113,positive,https://store.steampowered.com/app/1534260/
TitTok 3,90,$4.50,$0.45,87,57,positive,https://store.steampowered.com/app/2003220/
SOK MIN,90,$4.50,$0.45,90,116,positive,https://store.steampowered.com/app/839340/
CPU Invaders - 3i Atlas,90,$4.50,$0.45,98,77,positive,https://store.steampowered.com/app/4234170/
SOK MAX,90,$4.50,$0.45,87,79,positive,https://store.steampowered.com/app/786820/
QUICKERFLAK,90,$4.50,$0.45,89,1094,positive,https://store.steampowered.com/app/1836120/
Barro 2024,90,$4.50,$0.45,78,185,positive,https://store.steampowered.com/app/3119720/
SOK PRO,90,$4.50,$0.45,90,60,positive,https://store.steampowered.com/app/1399300/
TitTok Kitty,90,$4.50,$0.45,90,73,positive,https://store.steampowered.com/app/2010320/
Welcome Back To 2007 Part II,90,$4.50,$0.45,86,50,positive,https://store.steampowered.com/app/848550/
NUMANUIN,90,$4.50,$0.45,92,25,positive,https://store.steampowered.com/app/2261040/
DROPSOL,90,$4.50,$0.45,86,15,positive,https://store.steampowered.com/app/2439120/
Skiing Frenzy,90,$4.50,$0.45,100,16,positive,https://store.steampowered.com/app/2389500/
TitTok 2,90,$4.50,$0.45,87,49,positive,https://store.steampowered.com/app/1764810/
Andarilho,90,$4.50,$0.45,66,1204,mixed,https://store.steampowered.com/app/450860/
101 Cute Dogs: Find & Paint,90,$4.50,$0.45,79,24,positive,https://store.steampowered.com/app/3210730/
Cyberemo 2007,90,$4.50,$0.45,79,92,positive,https://store.steampowered.com/app/848530/
Welcome Back To 2007,90,$4.50,$0.45,77,227,positive,https://store.steampowered.com/app/666940/
Ball of Wonder,90,$4.50,$0.45,69,75,mixed,https://store.steampowered.com/app/508760/
Call Of The Mighty Warriors,90,$4.50,$0.45,59,293,mixed,https://store.steampowered.com/app/485440/
Bighead Runner,90,$4.50,$0.45,70,164,positive,https://store.steampowered.com/app/863490/
Trip to Vinelands,90,$4.50,$0.45,85,1576,positive,https://store.steampowered.com/app/546090/
TTV2,90,$4.50,$0.45,86,1490,positive,https://store.steampowered.com/app/701470/
ABSURDIKA,90,$4.50,$0.45,63,11,mixed,https://store.steampowered.com/app/2387660/
Collecstar,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2538480/
Bellboy Boris,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2528850/
Runner Roy,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2426770/
Ranphon,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2505530/
Alfredo's Sneaky Meal,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2484880/
Ladderway,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2485660/
Rafting Frenzy,90,$4.50,$0.45,,,,https://store.steampowered.com/app/2454000/
Gal*Gun 2 - Doki Doki VR Mode,90,$4.69,$0.46,68,77,mixed,https://store.steampowered.com/app/932660/
Super Buff HD,90,$4.99,$0.49,94,34,positive,https://store.steampowered.com/app/1295220/
Speedollama,90,$4.99,$0.49,95,23,positive,https://store.steampowered.com/app/2571500/
The Uncertain: Light At The End,90,$4.99,$0.49,64,971,mixed,https://store.steampowered.com/app/925570/
Infernal Radiation,90,$4.99,$0.49,86,50,positive,https://store.steampowered.com/app/832140/
Perseus: Titan Slayer,90,$4.99,$0.49,63,348,mixed,https://store.steampowered.com/app/2003050/
祛魅·入灭（祛魅2） - 豪华礼包,90,$4.99,$0.49,100,11,positive,https://store.steampowered.com/app/1496830/
Street Heat,90,$4.99,$0.49,58,17,mixed,https://store.steampowered.com/app/744040/
Quantum Replica,90,$4.99,$0.49,57,40,mixed,https://store.steampowered.com/app/470090/
Super Jigsaw Puzzle: Generations - Bridges,90,$4.99,$0.49,,,,https://store.steampowered.com/app/2023090/
Super Jigsaw Puzzle: Generations - Random Puzzles 4,90,$4.99,$0.49,,,,https://store.steampowered.com/app/1840602/
Qume: Echoes of Sand,90,$4.99,$0.49,,,,https://store.steampowered.com/app/3676870/
Agent Intercept,90,$5.00,$0.50,86,150,positive,https://store.steampowered.com/app/1502710/
Hitman: Blood Money,90,$5.49,$0.54,94,6687,positive,https://store.steampowered.com/app/6860/
Robot Roller-Derby Disco Dodgeball,90,$5.49,$0.54,92,1947,positive,https://store.steampowered.com/app/270450/
Ghost Signal: A Stellaris Game,90,$5.49,$0.54,93,104,positive,https://store.steampowered.com/app/2156770/
Jetborne Racing,90,$5.49,$0.54,88,491,positive,https://store.steampowered.com/app/1397650/
miniBONG,90,$5.49,$0.54,79,882,positive,https://store.steampowered.com/app/2411910/
The Purring Quest,90,$5.49,$0.54,81,1205,positive,https://store.steampowered.com/app/409100/
The Red Solstice,90,$5.49,$0.54,72,883,positive,https://store.steampowered.com/app/265590/
Echoes,90,$5.49,$0.54,92,26,positive,https://store.steampowered.com/app/1775220/
Pumped BMX +,90,$5.49,$0.54,85,234,positive,https://store.steampowered.com/app/392070/
The Guest,90,$5.49,$0.54,73,852,positive,https://store.steampowered.com/app/402040/
VEX MAGE,90,$5.49,$0.54,95,23,positive,https://store.steampowered.com/app/2700810/
Bug Academy,90,$5.49,$0.54,95,262,positive,https://store.steampowered.com/app/881040/
10 Second Ninja X,90,$5.49,$0.54,85,307,positive,https://store.steampowered.com/app/435790/
Wraith: The Oblivion - Afterlife,90,$5.49,$0.54,61,104,mixed,https://store.steampowered.com/app/1386870/
Traffic Jams,90,$5.49,$0.54,85,49,positive,https://store.steampowered.com/app/1301930/
Ultra Space Battle Brawl,90,$5.49,$0.54,81,96,positive,https://store.steampowered.com/app/658500/
Shatter Remastered Deluxe,90,$5.49,$0.54,71,45,positive,https://store.steampowered.com/app/1937230/
Infectonator: Survivors,90,$5.49,$0.54,67,997,mixed,https://store.steampowered.com/app/269310/
Porcunipine,90,$5.49,$0.54,87,71,positive,https://store.steampowered.com/app/352620/
Re:Touring,90,$5.49,$0.54,100,28,positive,https://store.steampowered.com/app/2318920/
Egyptian Senet,90,$5.49,$0.54,81,200,positive,https://store.steampowered.com/app/391580/
Lesson Learned,90,$5.49,$0.54,70,10,positive,https://store.steampowered.com/app/1563870/
Barry of Wrath,90,$5.49,$0.54,96,28,positive,https://store.steampowered.com/app/1888720/
Angel Made,90,$5.49,$0.54,100,31,positive,https://store.steampowered.com/app/1500470/
Foodtruck Arena,90,$5.49,$0.54,100,11,positive,https://store.steampowered.com/app/1182280/
Tales of the Tiny Planet,90,$5.49,$0.54,90,33,positive,https://store.steampowered.com/app/616040/
Descending I - House of Nightmares,90,$5.49,$0.54,89,47,positive,https://store.steampowered.com/app/1575730/
A Night at the Races,90,$5.49,$0.54,86,22,positive,https://store.steampowered.com/app/1082000/
Stone 4 Souls,90,$5.49,$0.54,78,32,positive,https://store.steampowered.com/app/3507680/
Plastic Rebellion,90,$5.49,$0.54,70,27,positive,https://store.steampowered.com/app/789160/
Space Robinson: Hardcore Roguelike Action,90,$5.49,$0.54,66,162,mixed,https://store.steampowered.com/app/953870/
Reptiles: In Hunt,90,$5.49,$0.54,57,97,mixed,https://store.steampowered.com/app/897380/
Mannequin,90,$5.49,$0.54,79,39,positive,https://store.steampowered.com/app/2409260/
ZooKeeper,90,$5.49,$0.54,65,41,mixed,https://store.steampowered.com/app/1027810/
Witchcrafty,90,$5.49,$0.54,53,54,mixed,https://store.steampowered.com/app/1122280/
Miniballist,90,$5.49,$0.54,72,90,positive,https://store.steampowered.com/app/628580/
Fearful Symmetry & The Cursed Prince,90,$5.49,$0.54,78,33,positive,https://store.steampowered.com/app/725080/
Tartapolis,90,$5.49,$0.54,75,12,positive,https://store.steampowered.com/app/1072110/
Qora,90,$5.49,$0.54,68,260,mixed,https://store.steampowered.com/app/304460/
Niko: Through The Dream,90,$5.49,$0.54,69,200,mixed,https://store.steampowered.com/app/296550/
Fossilfuel VR: Raptor Isolation,90,$5.49,$0.54,50,10,mixed,https://store.steampowered.com/app/1774650/
Cast of the Seven Godsends - Redux,90,$5.49,$0.54,65,75,mixed,https://store.steampowered.com/app/373360/
Midnight Caravan,90,$5.49,$0.54,64,14,mixed,https://store.steampowered.com/app/849140/
V ARRR,90,$5.49,$0.54,64,76,mixed,https://store.steampowered.com/app/478950/
Pangeon,90,$5.49,$0.54,60,48,mixed,https://store.steampowered.com/app/983670/
Zombie Outbreak 1942,90,$5.49,$0.54,72,11,positive,https://store.steampowered.com/app/3696080/
Deathlike: Awakening,90,$5.49,$0.54,66,18,mixed,https://store.steampowered.com/app/570230/
Bridge! 2,90,$5.49,$0.54,24,45,negative,https://store.steampowered.com/app/434090/
Sapper - Defuse The Bomb Simulator,90,$5.49,$0.54,34,73,negative,https://store.steampowered.com/app/1083070/
Jump Stars,90,$5.49,$0.54,35,14,negative,https://store.steampowered.com/app/486990/
Pro Rugby Manager 2015,90,$5.49,$0.54,19,131,negative,https://store.steampowered.com/app/273030/
Soul Tolerance: Prologue,90,$5.49,$0.54,,,,https://store.steampowered.com/app/1820430/
EnterVR,90,$5.49,$0.54,,,,https://store.steampowered.com/app/574520/
Pixel Puzzles Traditional Jigsaws Pack: Colorful Animals,90,$5.49,$0.54,,,,https://store.steampowered.com/app/1176231/
Pixel Puzzles Traditional Jigsaws Pack: Variety Pack XXS,90,$5.49,$0.54,,,,https://store.steampowered.com/app/1176218/
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Mini Beasts,90,$5.49,$0.54,,,,https://store.steampowered.com/app/1952644/
Frol Blok,90,$5.49,$0.54,,,,https://store.steampowered.com/app/787160/
