Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Laser Tanks,88,$3.99,$0.47,84,13,positive,https://store.steampowered.com/app/2309830/
Assassin Of Spider 2: 2099,88,$3.99,$0.47,80,10,positive,https://store.steampowered.com/app/4785480/
Copter and Sky,88,$3.99,$0.47,62,56,mixed,https://store.steampowered.com/app/499610/
Kill Source: Neon Hemorrhage,88,$3.99,$0.47,,,,https://store.steampowered.com/app/4590020/
Dashy Square VR,88,$3.99,$0.47,,,,https://store.steampowered.com/app/495540/
Dark Nebula VR,88,$3.99,$0.47,,,,https://store.steampowered.com/app/929610/
Fallen Knight: Rebellion & Rise Of The Fallen,88,$4.29,$0.51,,,,https://store.steampowered.com/app/1934060/
Knock'Em Out,88,$4.49,$0.53,85,240,positive,https://store.steampowered.com/app/2192900/
Dream Cage,88,$4.49,$0.53,63,298,mixed,https://store.steampowered.com/app/3122170/
Snap Game,88,$4.69,$0.56,80,62,positive,https://store.steampowered.com/app/4280100/
Biped,88,$4.99,$0.59,89,1760,positive,https://store.steampowered.com/app/1071870/
Wild Alone,88,$5.89,$0.70,47,38,mixed,https://store.steampowered.com/app/2494500/
Gravity Heroes,88,$6.29,$0.75,92,14,positive,https://store.steampowered.com/app/1020310/
Urtuk: The Desolation,88,$6.79,$0.81,87,1150,positive,https://store.steampowered.com/app/1181830/
Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,88,$12.99,$1.55,35,45,negative,https://store.steampowered.com/app/836600/
MY HERO ONE'S JUSTICE 2,88,$39.99,$4.79,87,1655,positive,https://store.steampowered.com/app/1058450/
Time Loader,87,$3.49,$0.45,83,387,positive,https://store.steampowered.com/app/1301950/
HordeCore,87,$3.49,$0.45,63,118,mixed,https://store.steampowered.com/app/980210/
Devil Slot Machine,87,$3.49,$0.45,70,20,positive,https://store.steampowered.com/app/2674970/
PaCc and Bomber: Maze Blast,87,$3.49,$0.45,,,,https://store.steampowered.com/app/2945970/
Weapons Genius VR,87,$3.49,$0.45,,,,https://store.steampowered.com/app/1273380/
Canterz Paranormies,87,$3.60,$0.46,,,,https://store.steampowered.com/app/1998470/
Abandoned Croxon Mansion,87,$3.60,$0.46,,,,https://store.steampowered.com/app/1661380/
My Haunted Doll,87,$3.60,$0.46,,,,https://store.steampowered.com/app/1181470/
Ryo The Haunted Office,87,$3.60,$0.46,,,,https://store.steampowered.com/app/2265240/
Arata Haunted Asylum,87,$3.60,$0.46,,,,https://store.steampowered.com/app/2144470/
Canterz Paranormies 2,87,$3.60,$0.46,,,,https://store.steampowered.com/app/2206930/
FALL GIRLS,87,$3.99,$0.51,49,187,mixed,https://store.steampowered.com/app/1882580/
Heltons Haunted Hotel,87,$3.99,$0.51,,,,https://store.steampowered.com/app/1605310/
House Number 666,87,$3.99,$0.51,,,,https://store.steampowered.com/app/1162690/
Haunted Jail: Alcatas,87,$3.99,$0.51,,,,https://store.steampowered.com/app/1056650/
Gregor Hills Haunted Hospital,87,$3.99,$0.51,,,,https://store.steampowered.com/app/1084770/
Mello Haunted House,87,$3.99,$0.51,,,,https://store.steampowered.com/app/2018810/
Koverpark Haunted Subway,87,$3.99,$0.51,,,,https://store.steampowered.com/app/3023700/
Ghost In The Barn House,87,$3.99,$0.51,,,,https://store.steampowered.com/app/1219220/
Deus Ex: Game of the Year Edition,87,$4.99,$0.64,95,10499,positive,https://store.steampowered.com/app/6910/
CRIMSON METAL Classic 1999,87,$4.99,$0.64,49,283,mixed,https://store.steampowered.com/app/606960/
Dark Places,87,$4.99,$0.64,51,66,mixed,https://store.steampowered.com/app/926810/
Bad Pad,87,$6.19,$0.80,80,36,positive,https://store.steampowered.com/app/517210/
Rise of the Triad: Dark War,87,$6.99,$0.90,85,114,positive,https://store.steampowered.com/app/358410/
Bloodshore,87,$6.99,$0.90,68,827,mixed,https://store.steampowered.com/app/1490840/
The Grindstone,87,$8.19,$1.06,86,30,positive,https://store.steampowered.com/app/2284240/
Seventh Star,87,$8.49,$1.10,100,25,positive,https://store.steampowered.com/app/2240660/
Demon Scrolls,87,$14.99,$1.94,100,16,positive,https://store.steampowered.com/app/2407800/
BLACK CLOVER: QUARTET KNIGHTS,87,$39.99,$5.19,75,832,positive,https://store.steampowered.com/app/714080/
A Game Called Paako - The Game Called Paako,86,$3.26,$0.45,,,,https://store.steampowered.com/app/2854330/
White Day VR: The Courage Test,86,$3.29,$0.46,69,79,mixed,https://store.steampowered.com/app/1442650/
ThrounnelVR,86,$3.29,$0.46,82,23,positive,https://store.steampowered.com/app/509310/
Candy Smash VR,86,$3.29,$0.46,76,78,positive,https://store.steampowered.com/app/503900/
The Purge Day,86,$3.29,$0.46,69,43,mixed,https://store.steampowered.com/app/553450/
Arena: Blood on the Sand VR,86,$3.29,$0.46,64,67,mixed,https://store.steampowered.com/app/577890/
69 Ways to Kill a Zombie,86,$3.29,$0.46,64,70,mixed,https://store.steampowered.com/app/512410/
Gal*Gun: Double Peace - 'Hidden Desire' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539950/
Gal*Gun: Double Peace - 'Chinese Dress' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539840/
Gal*Gun: Double Peace - 'Sexy Ribbons' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539800/
Gal*Gun: Double Peace - 'Maid Uniform' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539850/
Gal*Gun: Double Peace - 'Revitalizing Cleric' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539880/
Gal*Gun: Double Peace - 'Shrine Maiden' Costume Set,86,$3.29,$0.46,,,,https://store.steampowered.com/app/539910/
